partner_id,monthly_earnings,trips_per_week,avg_rating,cancellation_rate,active_days_per_month,Nova_Score,earnings_m1,earnings_m2,earnings_m3,earnings_m4,earnings_m5,earnings_m6,trips_m1,trips_m2,trips_m3,trips_m4,trips_m5,trips_m6,earnings_trend_slope,earnings_trend_up,earnings_per_active_day,trips_per_active_day,estimated_cancellations_per_month,high_activity_flag,earnings_avg_3mo,earnings_avg_6mo,trips_avg_3mo,trips_avg_6mo,city_Bengaluru,city_Chennai,city_Delhi,city_Kolkata,city_Mumbai,vehicle_type_Auto,vehicle_type_Bike,vehicle_type_Car
P00001,33973.71,27,4.4,0.05,23,71.01,32695.01,32685.84,36317.88,35381.7,31924.2,37512.78,113,98,115,116,110,98,596.2214285714279,1,1477.1178260869565,4.695652173913044,5.4,0,33899.57666666667,34419.568333333336,108.66666666666667,108.33333333333333,False,False,True,False,False,False,True,False
P00002,28893.89,20,4.72,0.052,16,63.45,32800.76,27445.54,26159.19,28541.03,25381.7,28846.36,86,85,74,87,80,74,-673.7622857142841,0,1805.868125,5.0,4.16,0,28801.83,28195.763333333336,81.66666666666667,81.0,True,False,False,False,False,False,True,False
P00003,35181.51,31,4.66,0.069,23,81.22,37630.08,31763.49,33562.88,40084.04,31237.94,31967.32,123,118,135,121,120,122,-667.6939999999962,0,1529.6308695652174,5.391304347826087,8.556000000000001,0,34318.81666666667,34374.29166666667,125.33333333333333,123.16666666666667,True,False,False,False,False,False,False,True
P00004,42184.24,27,4.69,0.022,15,73.58,43432.79,43541.73,44250.6,38627.84,38143.05,45179.01,103,103,115,102,108,118,-373.934285714283,0,2812.2826666666665,7.2,2.376,0,43741.706666666665,42195.83666666667,107.0,108.16666666666667,True,False,False,False,False,False,True,False
P00005,28126.77,26,4.71,0.019,5,66.21,25224.24,27929.52,27975.64,28868.11,25626.19,27440.57,100,98,113,98,101,95,144.68942857142918,1,5625.354,20.8,1.976,0,27043.13333333333,27177.37833333333,103.66666666666667,100.83333333333333,True,False,False,False,False,False,True,False
P00006,28126.9,34,4.96,0.002,10,67.02,25224.16,31212.71,30139.98,29816.29,25952.09,28925.37,141,145,130,146,140,142,68.5857142857173,0,2812.69,13.6,0.272,0,28858.949999999997,28545.099999999995,138.66666666666666,140.66666666666666,False,False,True,False,False,False,True,False
P00007,42633.7,34,4.6,0.066,14,74.56,36981.54,36649.33,48532.6,46797.71,39506.01,37610.58,138,149,132,129,145,136,285.15285714285824,1,3045.2642857142855,9.714285714285714,8.976,0,40721.15666666667,41012.96166666667,139.66666666666666,138.16666666666666,True,False,False,False,False,False,False,True
P00008,36139.48,28,4.9,0.136,13,76.71,40109.5,37699.27,31982.14,35130.87,35659.36,37566.09,112,118,111,113,118,107,-448.23000000000104,0,2779.96,8.615384615384615,15.232000000000001,0,36596.969999999994,36357.871666666666,113.66666666666667,113.16666666666667,False,False,False,True,False,False,False,True
P00009,26244.2,30,4.75,0.037,10,61.42,27040.3,28314.46,27894.18,27715.88,26319.57,25248.63,113,128,113,116,116,116,-432.0377142857134,0,2624.42,12.0,4.4399999999999995,0,27749.646666666667,27088.83666666667,118.0,117.0,False,False,False,True,False,False,True,False
P00010,34340.48,32,4.94,0.005,17,69.75,36484.07,37013.75,31562.45,32313.03,32371.53,32632.28,138,131,127,128,128,116,-926.7151428571403,0,2020.0282352941178,7.529411764705882,0.64,0,35020.090000000004,33729.51833333333,132.0,128.0,False,False,False,False,True,False,True,False
P00011,26292.66,33,5.0,0.402,10,57.05,22511.13,29337.93,25618.07,25783.71,29505.33,30078.14,139,133,119,128,119,137,1100.0825714285734,1,2629.266,13.2,53.064,0,25822.376666666667,27139.051666666666,130.33333333333334,129.16666666666666,False,True,False,False,False,False,True,False
P00012,26274.16,31,4.77,0.11,24,72.21,29978.11,28079.46,22592.07,29392.59,26693.02,25741.56,115,129,133,119,133,114,-529.7585714285723,0,1094.7566666666667,5.166666666666667,13.64,0,26883.213333333333,27079.468333333334,125.66666666666667,123.83333333333333,False,False,False,False,True,True,False,False
P00013,31935.7,30,4.63,0.181,21,70.89,35120.74,36034.42,28447.43,36246.13,34689.93,33641.43,117,109,112,118,114,109,-103.75199999999712,0,1520.747619047619,5.714285714285714,21.72,0,33200.863333333335,34030.01333333333,112.66666666666667,113.16666666666667,False,False,True,False,False,False,True,False
P00014,14693.76,34,4.63,0.078,6,48.33,13425.71,13956.09,13899.32,15658.33,16563.85,15256.8,137,124,136,131,134,135,535.3640000000005,1,2448.96,22.666666666666668,10.608,0,13760.373333333331,14793.349999999999,132.33333333333334,132.83333333333334,False,True,False,False,False,True,False,False
P00015,16200.66,41,4.46,0.065,6,56.69,14654.27,16216.26,15432.68,15589.99,14563.43,14277.5,163,170,178,175,153,163,-191.0008571428561,0,2700.11,27.333333333333332,10.66,0,15434.403333333334,15122.355000000001,170.33333333333334,167.0,False,False,False,False,True,True,False,False
P00016,25501.7,30,4.45,0.083,14,62.35,23079.58,21784.16,28558.73,27950.31,24949.9,27398.47,118,116,128,122,124,124,870.9500000000031,1,1821.55,8.571428571428571,9.96,0,24474.156666666666,25620.191666666666,120.66666666666667,122.0,False,True,False,False,False,False,False,True
P00017,21897.35,34,4.87,0.083,5,63.02,20611.38,18658.45,23485.87,18782.67,21458.6,20735.65,142,136,144,127,137,142,123.38857142857226,1,4379.469999999999,27.2,11.288,0,20918.566666666666,20622.103333333333,140.66666666666666,138.0,False,False,False,False,True,False,True,False
P00018,32513.98,24,4.31,0.092,6,68.44,32755.46,29979.12,37119.74,28639.09,31094.47,35429.89,87,101,98,91,93,96,235.35857142857517,1,5418.996666666667,16.0,8.832,0,33284.77333333334,32502.96166666667,95.33333333333333,94.33333333333333,False,False,True,False,False,False,False,True
P00019,22735.81,29,5.0,0.065,19,59.75,22271.62,20013.02,23411.55,23836.5,19386.18,23470.0,115,118,115,106,117,121,129.6094285714311,1,1196.6215789473686,6.105263157894737,7.54,0,21898.73,22064.811666666665,116.0,115.33333333333333,False,False,False,True,False,False,False,True
P00020,18701.57,24,4.55,0.075,25,53.21,17530.27,17356.24,17252.46,17530.38,20474.32,17675.37,91,102,95,92,90,91,295.93314285714325,1,748.0628,3.84,7.199999999999999,0,17379.656666666666,17969.84,96.0,93.5,False,False,True,False,False,False,True,False
P00021,41725.19,33,5.0,0.151,8,81.02,43125.31,37682.56,39567.85,47375.44,36862.86,39926.33,121,130,121,136,139,123,-304.1831428571413,0,5215.64875,16.5,19.932,0,40125.24,40756.725000000006,124.0,128.33333333333334,False,False,False,False,True,False,True,False
P00022,28193.79,22,4.39,0.041,12,61.43,25144.58,24205.95,26669.94,27652.98,32384.63,30151.91,87,84,80,82,84,96,1444.4494285714295,1,2349.4825,7.333333333333333,3.608,0,25340.156666666666,27701.664999999997,83.66666666666667,85.5,False,True,False,False,False,False,False,True
P00023,30540.23,20,4.68,0.084,23,69.1,28635.84,34290.3,28950.56,29893.07,33041.09,30998.88,75,76,85,74,82,78,257.43085714285604,1,1327.8360869565217,3.4782608695652173,6.720000000000001,0,30625.566666666666,30968.289999999997,78.66666666666667,78.33333333333333,False,False,False,True,False,False,True,False
P00024,18602.01,34,4.49,0.094,24,59.57,17856.23,15857.6,19567.25,19595.8,19048.51,19541.51,129,126,134,131,147,125,515.0765714285722,1,775.0837499999999,5.666666666666667,12.784,0,17760.36,18577.816666666666,129.66666666666666,132.0,False,False,True,False,False,False,False,True
P00025,25644.94,31,4.36,0.046,28,65.53,25306.97,27461.23,25881.96,27703.47,22987.66,23016.22,124,113,113,127,113,132,-658.6557142857129,0,915.8907142857142,4.428571428571429,5.704,1,26216.72,25392.918333333335,116.66666666666667,120.33333333333333,False,False,True,False,False,True,False,False
P00026,30887.38,38,4.92,0.071,21,67.65,33529.88,27664.11,29825.7,30660.9,31030.01,33546.57,166,138,157,151,149,155,314.7528571428586,1,1470.827619047619,7.238095238095238,10.792,0,30339.896666666667,31042.861666666668,153.66666666666666,152.66666666666666,False,False,False,False,True,False,True,False
P00027,20792.05,31,4.27,0.118,11,61.52,18918.73,23363.38,18603.21,19008.1,19301.94,19671.72,129,118,129,120,115,126,-228.9851428571421,0,1890.1863636363635,11.272727272727273,14.632,0,20295.106666666667,19811.18,125.33333333333333,122.83333333333333,False,False,False,False,True,False,True,False
